Date,Open,High,Low,Close,Change,%Change,Volume,Company,Average Price,Market Cap,Turnover Rate,FB,Trading Value,MA5,Volatility
2025-02-24,4901.96,5294.12,4901.96,5294.12,0.0,0.0,200.0,HBH,5163.400000000001,1058824.0,3.7735849056603774,100.0,1058824.0,5235.296,8.000065280010443
2025-02-25,4901.96,5294.12,4901.96,5294.12,0.0,0.0,2100.0,HBH,5163.400000000001,11117652.0,39.62264150943396,100.0,11117652.0,5294.12,8.000065280010443
2025-02-26,5000.0,5294.12,4901.96,4901.96,-392.15999999999985,-7.407463374460719,17100.0,HBH,5032.68,83823516.0,100.0,0.0,83823516.0,5215.688,7.843199999999998
2025-02-27,4901.96,5294.12,4901.96,5294.12,392.15999999999985,8.000065280010443,1200.0,HBH,5163.400000000001,6352944.0,7.017543859649122,100.0,6352944.0,5215.688,8.000065280010443
2025-02-28,4901.96,4901.96,4901.96,4901.96,-392.15999999999985,-7.407463374460719,100.0,HBH,4901.96,490196.0,0.5847953216374269,0.0,490196.0,5137.255999999999,0.0
2025-03-03,4901.96,5294.12,4901.96,5294.12,392.15999999999985,8.000065280010443,1100.0,HBH,5163.400000000001,5823532.0,6.432748538011696,100.0,5823532.0,5137.255999999999,8.000065280010443
2025-03-04,4803.92,4803.92,4803.92,4803.92,-490.1999999999998,-9.2593292180759,100.0,HBH,4803.92,480392.0,0.5847953216374269,0.0,480392.0,5039.215999999999,0.0
2025-03-05,4803.92,5294.12,4803.92,4803.92,0.0,0.0,1600.0,HBH,4967.320000000001,7686272.0,9.35672514619883,0.0,7686272.0,5019.608,10.204166597278885
2025-03-06,5392.16,5392.16,5098.04,5098.04,294.1199999999999,6.122499958367332,8200.0,HBH,5196.080000000001,41803928.0,47.953216374269005,50.0,41803928.0,4980.392,5.454585917331828
2025-03-07,5686.27,5686.27,5490.2,5686.27,588.2300000000005,11.538355917176023,1100.0,HBH,5620.913333333334,6254897.000000001,6.432748538011696,100.0,6254897.000000001,5137.254,3.4481303209309546
2025-03-10,5196.08,5294.12,5098.04,5294.12,-392.15000000000055,-6.89643650407034,700.0,HBH,5228.759999999999,3705884.0,4.093567251461988,55.556185187283916,3705884.0,5137.254000000001,3.773613955135408
2025-03-11,5196.08,5196.08,5196.08,5196.08,-98.03999999999996,-1.8518658436151798,200.0,HBH,5196.08,1039216.0,1.1695906432748537,44.44494814982713,1039216.0,5215.686,0.0
2025-03-12,5196.08,5196.08,4901.96,5196.08,0.0,0.0,17800.0,HBH,5098.04,92490224.0,100.0,37.50047812727107,92490224.0,5294.118,5.660420932703112
2025-03-13,5196.08,5196.08,5196.08,5196.08,0.0,0.0,5200.0,HBH,5196.08,27019616.0,29.213483146067414,37.50047812727107,27019616.0,5313.726000000001,0.0
2025-03-14,5392.16,5392.16,5392.16,5392.16,196.07999999999993,3.773613955135408,500.0,HBH,5392.16,2696080.0,2.8089887640449436,100.0,2696080.0,5254.904,0.0
2025-03-17,5686.27,6176.47,5392.16,5392.16,0.0,0.0,8500.0,HBH,5653.596666666667,45833360.0,47.752808988764045,38.461840236639944,45833360.0,5274.512000000001,13.793048870349109
2025-03-18,5686.27,5686.27,5686.27,5686.27,294.1100000000006,5.454400462894287,16800.0,HBH,5686.27,95529336.0,94.3820224719101,61.538159763360056,95529336.0,5372.55,0.0
2025-03-19,5686.27,5686.27,5686.27,5686.27,0.0,0.0,1200.0,HBH,5686.27,6823524.000000001,6.741573033707865,49.99948999887803,6823524.000000001,5470.588,0.0
2025-03-20,5686.27,5686.27,5686.27,5686.27,0.0,0.0,0.0,HBH,5686.27,0.0,0.0,37.49920312121488,0.0,5568.626,0.0
2025-03-21,5686.27,5686.27,5686.27,5686.27,0.0,0.0,0.0,HBH,5686.27,0.0,0.0,37.49920312121488,0.0,5627.448,0.0
2025-03-24,5000.0,5686.27,5000.0,5686.27,0.0,0.0,2600.0,HBH,5457.513333333333,14784302.000000002,14.606741573033707,100.0,14784302.000000002,5686.27,13.72540000000001
2025-03-25,5882.35,5882.35,5882.35,5882.35,196.07999999999993,3.448306183139385,24700.0,HBH,5882.350000000001,145294045.0,100.0,100.0,145294045.0,5725.486,0.0
2025-03-26,6764.71,6764.71,6078.43,6176.47,294.1199999999999,5.000042500021248,16800.0,HBH,6339.87,103764696.0,68.0161943319838,66.66647777821854,103764696.0,5823.526,10.145002520433245
2025-03-27,6078.43,6078.43,5686.27,5686.27,-490.1999999999998,-7.936572184435444,500.0,HBH,5816.990000000001,2843135.0,2.0242914979757085,38.888542593400636,2843135.0,5823.526,6.45166597295683
2025-03-28,5686.27,5686.27,5588.24,5588.24,-98.03000000000065,-1.7239772293612625,3700.0,HBH,5620.916666666667,20676488.0,14.979757085020243,33.33352222178147,20676488.0,5803.92,1.7239772293612625
2025-03-31,5588.24,5588.24,5588.24,5588.24,0.0,0.0,2000.0,HBH,5588.240000000001,11176480.0,8.097165991902834,0.0,11176480.0,5784.314,0.0
2025-04-01,5098.04,5882.35,5098.04,5882.35,294.1100000000006,5.263016620617593,2800.0,HBH,5620.913333333333,16470580.000000002,11.336032388663968,47.05850588298826,16470580.000000002,5784.314,15.384539940840018
2025-04-02,6078.43,6078.43,5980.39,6078.43,196.07999999999993,3.333361666680832,35700.0,HBH,6045.75,216999951.0,100.0,100.0,216999951.0,5764.706,1.6129164932392075
2025-04-03,6666.67,6960.78,5294.12,5294.12,-784.3100000000004,-12.903167429747489,8200.0,HBH,5849.673333333333,43411784.0,22.969187675070028,10.526428809173579,43411784.0,5686.276,24.999887500056246
2025-04-04,5294.12,5294.12,5294.12,5294.12,0.0,0.0,800.0,HBH,5294.12,4235296.0,2.2408963585434174,10.526428809173579,4235296.0,5627.451999999999,0.0
2025-04-08,4509.8,4901.96,4509.8,4901.96,-392.15999999999985,-7.407463374460719,3100.0,HBH,4771.240000000001,15196076.0,8.683473389355742,16.000130560020885,15196076.0,5490.196000000001,8.695729300634172
2025-04-09,4901.96,4901.96,4901.96,4901.96,0.0,0.0,200.0,HBH,4901.96,980392.0,0.5602240896358543,16.000130560020885,980392.0,5294.118,0.0
2025-04-10,5588.24,5588.24,5490.2,5588.24,686.2799999999997,14.000114240018274,31100.0,HBH,5555.56,173794264.0,87.11484593837535,44.00035904005743,173794264.0,5196.08,1.75439852261177
2025-04-11,6372.55,6372.55,5490.2,5588.24,0.0,0.0,18100.0,HBH,5816.996666666666,101147144.0,50.700280112044815,57.89504764461144,101147144.0,5254.904,13.846105562137613
2025-04-14,5588.24,5588.24,5392.16,5392.16,-196.07999999999993,-3.50879704522354,13100.0,HBH,5457.5199999999995,70637296.0,36.69467787114846,47.36867534559118,70637296.0,5274.512000000001,3.50879704522354
2025-04-15,6176.47,6176.47,6078.43,6078.43,686.2700000000004,12.72718168600339,3900.0,HBH,6111.110000000001,23705877.0,10.92436974789916,79.99986400016321,23705877.0,5509.806,1.5873144368870888
2025-04-16,5294.12,5294.12,5294.12,5294.12,-784.3100000000004,-12.903167429747489,10200.0,HBH,5294.12,54000024.0,28.57142857142857,0.0,54000024.0,5588.237999999999,0.0
2025-04-17,5294.12,5294.12,5098.04,5294.12,0.0,0.0,14000.0,HBH,5228.759999999999,74117680.0,45.01607717041801,15.384736094655976,74117680.0,5529.414,3.7037316872303596
2025-04-18,5294.12,5294.12,5196.08,5196.08,-98.03999999999996,-1.8518658436151798,14800.0,HBH,5228.76,76901984.0,47.58842443729904,9.090993388537035,76901984.0,5450.982,1.8518658436151798
2025-04-21,5294.12,5294.12,5098.04,5098.04,-98.03999999999996,-1.886806977567704,1100.0,HBH,5163.400000000001,5607844.0,3.536977491961415,0.0,5607844.0,5392.158,3.7037316872303596
2025-04-22,5098.04,5098.04,4901.96,4901.96,-196.07999999999993,-3.846184023663995,1600.0,HBH,4967.32,7843136.0,5.144694533762058,0.0,7843136.0,5156.864,3.846184023663995
2025-04-23,4901.96,5098.04,4901.96,5098.04,196.07999999999993,4.000032640005221,3000.0,HBH,5032.68,15294120.0,9.646302250803858,50.0,15294120.0,5117.647999999999,4.000032640005221
2025-04-24,5098.04,5098.04,5098.04,5098.04,0.0,0.0,1900.0,HBH,5098.04,9686276.0,10.497237569060774,50.0,9686276.0,5078.432,0.0
2025-04-25,4901.96,5196.08,4901.96,5196.08,98.03999999999996,1.9230920118319974,400.0,HBH,5098.04,2078432.0,2.7027027027027026,75.0,2078432.0,5078.432,6.000048960007831
